"","CRN","Time","Days","SEC","Seats","Course Location"
"5655","55512","7:10 - 8:00 PM","T","D06","14","PHY 009AREMOTE TBA"
"5656","55512","TBA",NA,"D06","14","PHY 009AREMASY TBA"
"5657","55513","12:10 - 1:30 PM","TR","D07","20","PHY 009AREMOTE TBA"
"5658","55513","8:10 - 9:00 PM","T","D07","20","PHY 009AREMOTE TBA"
"5659","55513","TBA",NA,"D07","20","PHY 009AREMASY TBA"
"5660","55514","12:10 - 1:30 PM","TR","E01","6","PHY 009AREMOTE TBA"
"5661","55514","4:10 - 5:00 PM","W","E01","6","PHY 009AREMOTE TBA"
"5662","55514","TBA",NA,"E01","6","PHY 009AREMASY TBA"
"5663","55515","12:10 - 1:30 PM","TR","E02","0","PHY 009AREMOTE TBA"
"5664","55515","2:10 - 3:00 PM","W","E02","0","PHY 009AREMOTE TBA"
"5665","55515","TBA",NA,"E02","0","PHY 009AREMASY TBA"
"5666","55516","12:10 - 1:30 PM","TR","E03","0","PHY 009AREMOTE TBA"
"5667","55516","3:10 - 4:00 PM","W","E03","0","PHY 009AREMOTE TBA"
"5668","55516","TBA",NA,"E03","0","PHY 009AREMASY TBA"
"5669","55517","10:00 - 10:50 AM","W","E04","0","PHY 009AREMOTE TBA"
"5670","55517","12:10 - 1:30 PM","TR","E04","0","PHY 009AREMOTE TBA"
"5671","55517","TBA",NA,"E04","0","PHY 009AREMASY TBA"
"5672","55518","12:10 - 1:30 PM","TR","E05","2","PHY 009AREMOTE TBA"
"5673","55518","3:10 - 4:00 PM","T","E05","2","PHY 009AREMOTE TBA"
"5674","55518","TBA",NA,"E05","2","PHY 009AREMASY TBA"
"5675","55519","12:10 - 1:30 PM","TR","E06","11","PHY 009AREMOTE TBA"
"5676","55519","4:10 - 5:00 PM","T","E06","11","PHY 009AREMOTE TBA"
"5677","55519","TBA",NA,"E06","11","PHY 009AREMASY TBA"
"5678","55520","12:10 - 1:30 PM","TR","E07","17","PHY 009AREMOTE TBA"
"5679","55520","5:10 - 6:00 PM","T","E07","17","PHY 009AREMOTE TBA"
"5680","55520","TBA",NA,"E07","17","PHY 009AREMASY TBA"
"5681","55521","5:10 - 6:00 PM","W","A01","2","PHY 009CREMOTE TBA"
"5682","55521","TBA",NA,"A01","2","PHY 009CREMASY TBA"
"5683","55521","12:10 - 1:00 PM","MWF","A01","2","PHY 009CREMOTE TBA"
"5684","55522","12:10 - 1:00 PM","MWF","A02","2","PHY 009CREMOTE TBA"
"5685","55522","4:10 - 5:00 PM","W","A02","2","PHY 009CREMOTE TBA"
"5686","55522","TBA",NA,"A02","2","PHY 009CREMASY TBA"
"5687","55523","12:10 - 1:00 PM","MWF","A03","3","PHY 009CREMOTE TBA"
"5688","55523","6:10 - 7:00 PM","W","A03","3","PHY 009CREMOTE TBA"
"5689","55523","TBA",NA,"A03","3","PHY 009CREMASY TBA"
"5690","55524","12:10 - 1:00 PM","MWF","A04","2","PHY 009CREMOTE TBA"
"5691","55524","3:10 - 4:00 PM","R","A04","2","PHY 009CREMOTE TBA"
"5692","55524","TBA",NA,"A04","2","PHY 009CREMASY TBA"
"5693","55525","12:10 - 1:00 PM","MWF","A05","1","PHY 009CREMOTE TBA"
"5694","55525","4:10 - 5:00 PM","R","A05","1","PHY 009CREMOTE TBA"
"5695","55525","TBA",NA,"A05","1","PHY 009CREMASY TBA"
"5696","55526","12:10 - 1:00 PM","MWF","A06","2","PHY 009CREMOTE TBA"
"5697","55526","5:10 - 6:00 PM","R","A06","2","PHY 009CREMOTE TBA"
"5698","55526","TBA",NA,"A06","2","PHY 009CREMASY TBA"
"5699","55527","10:00 - 10:50 AM","R","A07","2","PHY 009CREMOTE TBA"
"5700","55527","12:10 - 1:00 PM","MWF","A07","2","PHY 009CREMOTE TBA"
"5701","55527","TBA",NA,"A07","2","PHY 009CREMASY TBA"
"5702","55528","10:00 - 10:50 AM","R","B01","1","PHY 009CREMOTE TBA"
"5703","55528","4:10 - 5:00 PM","MWF","B01","1","PHY 009CREMOTE TBA"
"5704","55528","TBA",NA,"B01","1","PHY 009CREMASY TBA"
"5705","55529","2:10 - 3:00 PM","R","B02","6","PHY 009CREMOTE TBA"
"5706","55529","4:10 - 5:00 PM","MWF","B02","6","PHY 009CREMOTE TBA"
"5707","55529","TBA",NA,"B02","6","PHY 009CREMASY TBA"
"5708","55530","4:10 - 5:00 PM","MWF","B03","7","PHY 009CREMOTE TBA"
"5709","55530","4:10 - 5:00 PM","R","B03","7","PHY 009CREMOTE TBA"
